barcode_number,reads_in_barcode
barcode01,179
barcode02,169
barcode03,166
barcode04,171
barcode05,178
barcode06,205
barcode07,208
barcode08,304
barcode09,189
barcode10,180
barcode11,217
barcode12,130
barcode13,187
barcode14,180
barcode15,165
barcode16,139
barcode17,162
barcode18,173
barcode20,310
barcode21,186
barcode22,178
barcode23,193
barcode24,146
barcode25,196
barcode26,164
barcode27,182
barcode28,157
barcode29,122
barcode31,142
barcode32,232
barcode33,150
barcode35,206
barcode36,180
barcode37,194
barcode38,170
barcode39,147
barcode40,170
barcode41,101
barcode42,134
barcode45,129
barcode46,100
barcode47,181
barcode49,161
barcode50,195
barcode51,154
barcode52,202
barcode53,137
barcode54,111
barcode55,178
barcode56,263
barcode57,132
barcode58,110
barcode59,157
barcode60,240
barcode61,133
barcode62,136
barcode63,189
barcode64,170
barcode65,115
barcode66,101
barcode67,162
barcode69,154
barcode70,100
barcode76,240
barcode77,134
barcode78,79
barcode79,207
barcode81,71
barcode82,76
barcode83,91
barcode85,1
barcode89,148
barcode90,188
barcode91,195
barcode93,116
barcode95,186
unclassified,11596
