barcode_number,reads_in_barcode
barcode01,182
barcode02,171
barcode03,176
barcode04,180
barcode05,183
barcode06,214
barcode07,213
barcode08,311
barcode09,194
barcode10,188
barcode11,223
barcode12,134
barcode13,191
barcode14,191
barcode15,175
barcode16,146
barcode17,169
barcode18,177
barcode20,328
barcode21,193
barcode22,185
barcode23,207
barcode24,150
barcode25,206
barcode26,168
barcode27,189
barcode28,162
barcode29,129
barcode31,152
barcode32,241
barcode33,157
barcode35,213
barcode36,183
barcode37,201
barcode38,174
barcode39,149
barcode40,175
barcode41,102
barcode42,136
barcode45,133
barcode46,102
barcode47,187
barcode49,170
barcode50,201
barcode51,161
barcode52,208
barcode53,144
barcode54,115
barcode55,182
barcode56,270
barcode57,134
barcode58,110
barcode59,160
barcode60,246
barcode61,138
barcode62,138
barcode63,194
barcode64,177
barcode65,119
barcode66,103
barcode67,170
barcode69,160
barcode70,109
barcode76,252
barcode77,138
barcode78,82
barcode79,214
barcode81,78
barcode82,77
barcode83,96
barcode85,1
barcode89,151
barcode90,192
barcode91,199
barcode93,121
barcode95,192
unclassified,11765
