barcode_number,reads_in_barcode
barcode01,182
barcode02,171
barcode03,174
barcode04,180
barcode05,183
barcode06,212
barcode07,213
barcode08,310
barcode09,194
barcode10,187
barcode11,222
barcode12,134
barcode13,191
barcode14,190
barcode15,175
barcode16,145
barcode17,169
barcode18,177
barcode20,326
barcode21,192
barcode22,185
barcode23,204
barcode24,150
barcode25,205
barcode26,168
barcode27,189
barcode28,162
barcode29,128
barcode31,151
barcode32,239
barcode33,157
barcode35,213
barcode36,183
barcode37,200
barcode38,174
barcode39,149
barcode40,175
barcode41,102
barcode42,136
barcode45,131
barcode46,102
barcode47,187
barcode49,169
barcode50,200
barcode51,161
barcode52,207
barcode53,143
barcode54,115
barcode55,181
barcode56,269
barcode57,134
barcode58,110
barcode59,160
barcode60,246
barcode61,138
barcode62,137
barcode63,193
barcode64,176
barcode65,119
barcode66,103
barcode67,170
barcode69,160
barcode70,106
barcode76,252
barcode77,138
barcode78,82
barcode79,211
barcode81,78
barcode82,77
barcode83,96
barcode85,1
barcode89,151
barcode90,192
barcode91,199
barcode93,120
barcode95,192
unclassified,11743
