read_id,alignment_genome,alignment_genome_start,alignment_genome_end,alignment_strand_start,alignment_strand_end,alignment_num_insertions,alignment_num_deletions,alignment_num_aligned,alignment_num_correct,alignment_identity,alignment_accuracy,alignment_score
7f06b45a-24f7-489e-ac4d-2ddfe1105c84,CP017665.1276159.1277680,21,1489,0,1506,77,39,1429,1372,0.960112,0.888026,2024
fcc6e729-8f0a-43df-a34d-1bf4c77cfe38,CP023508.4009105.4010659,30,1506,0,1517,79,38,1438,1412,0.981919,0.908039,2190
74ef8e48-5cd4-43c3-952e-8038391f4dd9,CP029166.2219280.2220833,28,1517,0,1461,31,59,1430,1338,0.935664,0.880263,1872
d47a6abb-ed3d-45af-a57b-1557bdc5451a,LT906621.632216.633783,21,1536,0,1507,33,41,1474,1443,0.978969,0.932171,2442
58e83ba5-1bb4-4fb0-9c3d-ef6f11c759a3,AB680185.1.1501,99,1502,74,1461,40,56,1347,1239,0.919822,0.858628,1606
983b37ce-417d-42a7-a352-5177651e035f,*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6a09bd7f-ae8d-4543-aa2a-75b1cb7ce5ae,CP033612.1826018.1827575,28,1517,0,1461,28,56,1433,1397,0.974878,0.920897,2262
8492c07e-ff57-43bd-9195-c634fb60fe43,CP022070.1164408.1165958,28,1507,0,1428,48,99,1380,1298,0.94058,0.850033,1606
fc39c177-631d-472e-8520-b99c6e72b739,CP005958.168469.170036,21,1536,0,1468,46,93,1422,1348,0.947961,0.863549,1770
73ecc78d-1393-44ee-a166-0cdb575777c8,AP008937.1563202.1564769,21,1536,0,1510,36,41,1474,1444,0.979647,0.931012,2414
8ca15b08-c087-4c76-aed6-2842f5c17c1a,*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
82d34146-8352-49dd-bfdb-f89c187ceb49,CP006600.2950841.2952392,29,1517,0,1456,19,51,1437,1341,0.933194,0.889847,1982
81bec436-d1ba-486b-8128-5460d7675f38,*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
36636860-9b75-49a8-b6f6-c7cc8eed1355,CP029465.9330.10883,29,1517,0,1517,61,32,1456,1412,0.96978,0.911556,2222
38b616d5-9758-4674-83dc-87780ff3cc45,FPID01000660.8.1504,18,1474,0,1413,48,91,1365,1247,0.913553,0.829122,1372
fa78e02f-0998-4a53-b7b2-fa61b9b6bb25,KJ585673.1.1458,2,1459,22,1424,24,79,1378,1337,0.970247,0.902768,2109
e16a8e02-ffd2-4241-b934-8bd0574d19cb,JF346899.1.1511,21,1509,0,1470,37,55,1433,1329,0.927425,0.871475,1822
b14dcb86-57bf-43d0-af1c-afeea6f4bc54,CP006600.2950841.2952392,29,1517,0,1452,24,60,1428,1380,0.966387,0.912698,2204
e184b6c1-924d-4d30-ba2c-3072208b61ab,U92196.1.1541,34,1507,7,1465,37,52,1421,1358,0.955665,0.899338,2074
27f9597b-dabf-4c48-80de-a1ec4cd061ae,CP007447.1993071.1994626,32,1426,3,1424,62,35,1359,1291,0.949963,0.886676,1884
dadb2437-ea32-405b-b0b3-a54495ef0da8,KJ585673.1.1458,2,1459,24,1469,27,39,1418,1381,0.973907,0.930593,2345
7e907bd8-7414-45c6-805f-8c7ea17eb5c3,KF101041.1.1370,1,1368,0,1349,24,42,1325,1242,0.937358,0.892883,1836
e57cd1d5-dcdb-4b32-9092-4e18d73a27fb,HF558398.2624691.2626228,25,1498,3,1473,48,51,1422,1353,0.951477,0.889546,1984
e92cac58-d83e-4307-ad05-f3c45d833a91,FPLN01002779.12.1533,236,1502,244,1515,38,33,1233,1190,0.965126,0.912577,1862
3de80e6a-2151-411b-8589-918505218005,*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
59adb33f-1388-4fe2-9f40-0f0dc0532b24,CP011536.178932.180511,30,1544,0,1481,25,58,1456,1433,0.984203,0.931124,2396
e030b0b7-f35e-4574-ade1-5aaa456ced2a,CP014368.2226652.2228208,28,1500,0,1478,62,56,1416,1311,0.925847,0.854628,1690
4ab092dd-66a5-4264-8b0b-8ab07e143c5e,CP011051.908918.910471,29,1517,0,1472,21,37,1451,1413,0.973811,0.936382,2386
8f3a838e-987a-42dc-b8c2-17c8eed6c67c,KM819149.1.1528,21,1526,0,1455,41,91,1414,1318,0.932108,0.852523,1692
b70ce055-cf87-4ed4-84df-ae9a104b7b42,HF558398.1831867.1833404,21,1398,0,1430,125,72,1305,1153,0.883525,0.767643,868
4f2c2086-2915-4074-987c-d852a861a2a3,CP007540.3465030.3466585,30,1423,0,1358,39,74,1319,1221,0.925701,0.852654,1552
03b6f2dc-3140-4c29-b1d4-c2bf31a02f87,CP022488.2668529.2670093,25,1524,0,1475,65,89,1410,1302,0.923404,0.832481,1484
c177a74b-f537-44b3-b6d9-018482077b38,KP966505.1.1491,9,1471,10,1428,52,96,1366,1289,0.943631,0.851387,1626
9d36fb92-a024-4740-bff9-947b783fb688,AFSG01000009.99839.101366,24,1508,3,1459,31,59,1425,1326,0.930526,0.875248,1868
7f19a5a0-300f-4974-a1d9-4cd592227e16,KC414654.1.1524,20,1509,0,1485,46,50,1439,1359,0.944406,0.885342,1942
7ac52e4f-3e87-44ee-b4c2-b96f0b2cc73a,LT906444.2360069.2361606,27,1421,6,1393,36,43,1351,1280,0.947446,0.895105,1914
37824d2c-ee4d-4e83-a7ff-51cb2c34020b,CP031131.1912507.1914059,250,1511,210,1467,41,45,1216,1144,0.940789,0.878648,1600
240f2a84-2bf6-4911-8a5e-782dda3a39d6,*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9b49fe95-5385-4037-8d0b-309d94bfc813,LT906621.1531287.1532854,21,1447,0,1451,63,38,1388,1282,0.923631,0.860981,1662
b3177650-71cf-4cc7-91ff-cdf08d1b2bed,CP011051.2003411.2004965,29,1518,0,1487,48,50,1439,1375,0.955525,0.8946,2058
c3c083f9-fc8a-4e29-b4c5-a45493b8963e,CP011536.178932.180511,32,1538,0,1476,73,103,1403,1337,0.952958,0.846738,1658
70793431-1490-451e-8cd6-d728baab668e,CP006937.6327466.6329002,28,1500,0,1454,31,49,1423,1343,0.943781,0.893546,1986
109b3166-46b1-4e79-babd-cfb362db39fc,KX752886.1.1476,30,1468,36,1428,27,73,1365,1276,0.934799,0.87099,1736
dd3df7be-935e-4d2a-a20d-892773a1f7f4,*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
bfde5964-c3aa-4301-8ae7-3be8e1a66da0,*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
81fb5606-b101-446f-ac00-a4f8520d8251,CP016803.934453.936008,21,1536,0,1511,21,25,1490,1416,0.950336,0.921875,2304
4d09532a-72b8-4140-9f1f-7bfb3f0ee1c5,CP033371.702114.703693,29,1544,0,1470,41,86,1429,1327,0.928621,0.852828,1676
7f23e11d-a3f2-49b5-b956-dfa5ca10fff3,JQ183694.1.1380,223,1379,209,1348,41,58,1098,988,0.899818,0.825397,1066
959a5e6a-9775-4664-a013-f28a32b4895c,CP030194.3590824.3592355,243,1489,227,1484,70,59,1187,1078,0.908172,0.819149,1146
34b9eb22-7e34-4d27-9b38-3f67761f9aaf,*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18454c97-0bfb-437b-ad99-fb5fc9fe083a,KX397596.1.1499,7,1479,5,1448,31,60,1412,1336,0.946176,0.888889,1946
aa137405-5041-479a-9e7f-86fcd80ad228,CP030838.4326587.4328122,27,1503,1,1482,72,67,1409,1349,0.957417,0.871447,1892
2bd0a659-b03c-4423-9d57-eb1597d06e24,CP009565.3990754.3992290,30,1493,2,1486,68,47,1416,1371,0.96822,0.895493,2080
1a3a4e13-9743-40b0-b77a-017ceaa2ba70,CP014787.1258853.1260437,29,1541,0,1475,20,57,1455,1371,0.942268,0.894909,2036
eeff7eba-6d3b-44b1-acf0-7e344ceb6169,AP008937.1563202.1564769,21,1536,0,1506,29,38,1477,1390,0.941097,0.900259,2114
71dda856-eb3b-46f9-97a8-09fbad8d28b5,KF100410.1.1370,1,1368,0,1345,42,64,1303,1162,0.891788,0.824698,1328
ec71a3a9-f5a9-4dc0-8f87-4d1989f019c0,LT905090.2538278.2539798,21,1500,0,1465,36,50,1429,1385,0.969209,0.914191,2206
f135d2c8-c739-474f-8bfa-2592d556a802,CP007484.4134733.4136286,30,1510,0,1493,54,41,1439,1395,0.969423,0.909387,2200
0d7652d2-6bef-4793-9993-12c29b586fa7,*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
01688d1e-82e3-4dde-9815-ebe5097903dd,KF101041.1.1370,1,1363,0,1331,31,62,1300,1205,0.926923,0.865039,1588
4bfcdfbe-aed1-409f-98f5-ae34ecb4c434,FPID01000556.2.1495,18,1383,0,1382,60,43,1322,1225,0.926626,0.859649,1584
eb3cc242-3b91-4d5b-860b-2526b5cffb3e,CP012015.551875.553414,21,1507,0,1490,39,35,1451,1369,0.943487,0.897705,2042
9e83de2f-ea79-4389-a867-ffa817cea4e3,DQ818682.1.1490,1,1491,0,1455,33,68,1422,1372,0.964838,0.900854,2102
57e8f9d0-5930-4015-94c3-64db5eacb010,FPID01000391.6.1502,18,1477,0,1524,97,32,1427,1396,0.978276,0.897172,2187
3e66cc16-60f4-483f-8d98-e043abf823bf,CP033612.244197.245754,28,1517,0,1465,24,48,1441,1345,0.93338,0.888962,1970
2ca9f2b7-bf09-4126-b893-6e4408bf332c,CP025495.2064218.2065771,31,1430,3,1370,31,63,1336,1242,0.929641,0.868531,1668
fa269895-6d9a-4d53-8623-f1dc75d02a88,CP002033.273972.275539,21,1536,0,1503,28,40,1475,1400,0.949153,0.907323,2172
aae97f55-970e-4cea-9fc7-1dcfbadafe23,KX752885.1.1461,16,1452,20,1452,34,38,1398,1307,0.934907,0.889116,1909
30762403-be4e-4581-ab3c-27e1456effd8,*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0ad564e2-0189-4ece-a524-d0dacce22821,AP018340.57116.58614,21,1386,0,1372,60,53,1312,1191,0.907774,0.83579,1396
4e80ef47-328e-4fd7-a64a-605b3fec8895,CP021104.223863.225418,21,1536,0,1510,27,32,1483,1403,0.946055,0.909857,2200
8aa5dd37-aa38-4ada-a86d-e2bcfb6f736b,FPLN01008255.16.1537,21,1498,0,1438,18,57,1420,1342,0.94507,0.897659,2042
14fde0d0-1c59-449f-bc7b-14e8814c5b1d,AP008937.1563202.1564769,21,1536,0,1512,23,26,1489,1409,0.946273,0.916125,2256
4f460d87-bc01-4a96-bb83-dc9b67c6042e,FJ957786.1.1518,21,1511,0,1522,53,21,1469,1385,0.942818,0.897602,2138
df2a71d4-05b2-4645-b985-88efb0b232f3,CP022070.1009446.1010995,28,1412,0,1362,33,55,1329,1232,0.927013,0.869442,1656
585a513c-f73e-4a13-aa88-2ab48c6d3da5,CP006591.2676298.2677848,33,1512,0,1472,50,57,1422,1342,0.943741,0.877698,1898
69e46064-bcd2-4012-981d-8f6530621b35,AM933506.1.1415,167,1323,221,1371,25,31,1125,1074,0.954667,0.909399,1679
5c0a2170-d4b4-4617-97d9-07534f78cc31,*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
789b67e2-8296-473e-8846-c3690d753a67,CP011051.2128283.2129837,28,1518,0,1447,26,69,1421,1355,0.953554,0.893799,1992
4812efd7-7efd-4427-bb0b-414d877a6ba3,CP018102.875959.877524,24,1525,0,1482,33,52,1449,1353,0.933747,0.882008,1960
11639893-50b8-489e-b4dc-7192020fb4a4,*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3c6d7c17-54a4-43c4-a32f-2358b26239ee,CP026609.3057811.3059361,28,433,0,410,9,4,401,394,0.982544,0.951691,690
b9876d99-f2c3-45e6-b0b3-16cb08ee1717,LT615218.491878.493407,22,1510,0,1451,18,55,1433,1393,0.972087,0.924967,2296
3244b029-6d51-4a22-93d3-f5fba3ad049e,FJ957786.1.1518,21,1505,0,1471,29,42,1442,1358,0.941748,0.897555,2054
1ab6be82-25fe-402a-9da9-8782f44a7f3d,CP033432.6479340.6480875,28,1502,0,1516,74,32,1442,1368,0.948682,0.883721,1940
d1bba352-e902-4df4-98e5-3c8911ab8115,CP021907.514311.515842,17,1502,103,1485,44,147,1338,1243,0.928999,0.81295,1316
ed52bdae-d03e-4123-bc46-2c0cc78c12dd,*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ddcdf507-f19e-4563-8ac0-d2faf86749d6,KX261529.1.1502,8,1398,9,1404,43,38,1352,1271,0.940089,0.88695,1812
b87f606c-dfc3-42e6-b6cd-ceebfba9ea28,FPLN01004683.12.1497,21,1487,0,1426,32,72,1394,1299,0.931851,0.867156,1730
feb0c4e7-8a2e-4ad8-9c79-028a17f4dfe5,*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
b7481fa4-4f03-4a99-a706-0d08ac82ce9a,CP007168.2744899.2746436,24,1510,5,1485,62,68,1418,1271,0.896333,0.821059,1402
9fc9c218-b5a2-49fc-8d99-747cf048eee8,KR095618.1.1502,4,1490,3,1477,51,63,1423,1345,0.945186,0.875081,1886
01f41d9e-3ab4-44d7-bedf-3ed82bfe57c1,*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
c916ed33-32cf-4c95-904c-7b9d5cee0a87,*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
a49a1a87-c42b-473f-b9c7-a5f0d002dd6b,CP006591.2676298.2677848,29,1493,0,1454,40,50,1414,1376,0.973126,0.914894,2180
7194cba8-f95d-4e71-aaf1-6909b1aecb69,FPID01000136.5.1506,18,1483,0,1459,59,65,1400,1353,0.966429,0.887795,2002
bfa0ace4-5ea1-44c1-afd9-433410b779e0,*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
d6c49b78-f4c6-4dc9-a6f9-c4679ef71567,CP011536.178932.180511,29,1455,0,1429,51,48,1378,1241,0.900581,0.840217,1472
