read_id	alignment_genome	alignment_genome_start	alignment_genome_end	alignment_strand_start	alignment_strand_end	alignment_num_insertions	alignment_num_deletions	alignment_num_aligned	alignment_num_correct	alignment_identity	alignment_accuracy	alignment_score
bba48288-5e54-4380-88a9-14bc2105206f	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
81b6b97e-b12f-40c8-9f56-ad9e517afea8	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
f21089f2-6874-49ae-bdad-e45811ae24d8	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
b2cc4bd7-3ca8-439d-af33-a2550fbe3189	Salmonella_enterica_16S_6	238	1402	223	1411	100	76	1088	880	0.808824	0.696203	184
32d74b5e-927e-4de6-abb0-6abe69fc8c0b	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5816cd93-9f8c-4499-ac64-56ea6f7fc1ed	Salmonella_enterica_16S_5	239	1414	208	1370	63	76	1099	910	0.828025	0.735057	482
61830b54-798d-411d-9400-40ed0bc7fc20	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9969f757-dfc4-4597-9f59-948ae7c8b106	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15a09d21-c746-4ac3-a9fd-f7fbafc5bdd3	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
861a346f-be9f-40e8-8234-33e8f4eec378	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0b81b67f-284c-4ec3-8864-1368484b1719	Salmonella_enterica_16S_5	265	1436	258	1459	69	39	1132	968	0.855124	0.780645	840
1f820b86-ebf4-4942-abc1-5bd10beb1979	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
29a47a2d-2358-4425-949b-7eb3bf3fc9d3	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
172969e1-c257-4403-bcef-ecae18b20004	*	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
480b72cd-2d21-4fdb-80e6-4cc8b10a2daa	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
759d07e7-1a5b-4a2a-9653-41aeba8f05bb	Pseudomonas_aeruginosa_16S_4	227	1402	187	1300	47	109	1066	906	0.849906	0.741408	540
e7714f9a-073c-4f4a-960b-6cbff7a72ead	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
627a4ac6-d452-4459-808d-884d1ee434d2	Pseudomonas_aeruginosa_16S_2	19	1494	0	1466	85	94	1381	1206	0.87328	0.773077	954
f9f7d0b0-5b97-418b-8507-96c7757289af	*	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3ea2884d-3c1a-4952-af62-0841883e2351	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
76aeec65-48e2-46fd-8402-a2779ac856a8	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
dc2a49db-1fd1-4b4b-82bf-333c8934cd55	Enterococcus_faecalis_16S_1_rc	259	1526	276	1525	83	101	1166	982	0.842196	0.727407	436
797dcf6e-af3c-4aaf-9d1b-9d501e6697e4	Bacillus_subtilis_16S_8	31	1446	6	1451	60	30	1385	1334	0.963177	0.904407	2032
0016fdf3-3ce9-4740-b7bb-d503d1b869ea	Salmonella_enterica_16S_1	236	1501	206	1444	39	66	1199	989	0.824854	0.758436	668
ced98937-f544-4e9e-96d6-7d7cc9d12e56	Salmonella_enterica_16S_3	292	1501	277	1501	79	64	1145	963	0.841048	0.747671	660
8a7e9b2e-82de-4a7b-b72d-aebae1a6cfe4	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
d49a1b15-e1c7-43b7-9661-2f2d2efcc612	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1b1e2e69-a272-467c-89d8-0c859c2df053	Bacillus_subtilis_16S_7	33	1425	4	1341	64	119	1273	1066	0.837392	0.732143	530
e61099b8-95d2-4036-952c-c7cf3a5cf4fe	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1d9e55ac-eafc-4dfa-bf6d-66842c9d170f	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9ed33ccb-9d2d-4181-8c83-46df2f0106d1	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
d4d38933-7230-43f9-aadd-373cea388a45	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1ac95dab-d621-41c4-9735-ad24702e1f65	*	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
d9ec1de1-3e95-4610-8315-9079546fd3c5	Salmonella_enterica_16S_4	235	1414	323	1487	56	71	1108	952	0.859206	0.77085	758
1a2c9384-cbaa-4d39-b425-6f8bcfa0b38e	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7f658c3e-e281-4b43-a537-7b9be6c6255b	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8b611863-df6f-4441-ba00-76f5dbd3ee30	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
67276ccc-c9a1-4f91-8ce4-606f2bb92c2a	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
42e9f61d-4cf8-43b1-9090-3c84729400d4	*	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
929f0cd6-8960-4456-bd52-993efa556e34	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
34a20a0c-5859-44f6-bbb9-9bf572627549	*	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
c4c0ced6-7a9d-4b34-82cf-ad6a8cb98986	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
c3e7ac4e-1f22-47d6-aeca-6d5df667530e	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
461d56cf-6a92-48c7-a8f5-a51f3bb56ec0	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
c0b91ae1-6a84-46dd-a8ea-072557b0f646	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
28e59f4a-b7bf-4898-8521-e9b95a8934d0	*	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
eeea8f27-0fe3-415f-a489-93e5b36337b0	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0f57207a-671c-45b7-853a-458619217949	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
a4111595-ded9-4474-8405-9ac3d75aa089	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
af2fca6b-f66f-4a8a-ab06-cba94e01d066	*	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
f9317a9c-9cea-47e8-9119-c7bda0462d5d	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
f343aa16-1ba6-4d8d-b195-1dacff14832e	Listeria_monocytogenes_16S_2	41	1517	6	1506	113	89	1387	1199	0.864456	0.754563	866
df4ec6c5-10e3-4bf5-947d-48f5b05880ef	Pseudomonas_aeruginosa_16S_4	227	1494	173	1351	47	136	1131	987	0.872679	0.751142	632
9d0a294a-f519-45f1-afa6-494defa96ab6	Enterococcus_faecalis_16S_4	107	1437	63	1354	70	109	1221	1034	0.846847	0.738571	590
f77cd2d4-cb1c-4219-b8c4-dd0e104c135d	*	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
88258a76-d671-4e80-b39f-3d7f81bc7c16	*	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
df7fc323-4c6a-478a-bf81-6de791f37cf5	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
36f767e1-2346-4537-973d-abbc788e8c92	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
e4bf8bec-873f-4eaa-a6ae-e896a6e057ad	Listeria_monocytogenes_16S_4	32	1418	5	1333	85	143	1243	1040	0.836685	0.707002	320
779c4eb7-868b-458e-a251-57943a7a3819	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5016cbcf-b830-4cd2-ae91-87542b1fe28e	Pseudomonas_aeruginosa_16S_4	223	1406	170	1275	56	134	1049	891	0.84938	0.719128	382
c1fb7371-d9f0-4c41-9110-7d4ce1225e57	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10ebc7ce-1f99-46a1-9179-745364fb0f1c	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
c6a4409d-9498-469a-aad6-700bfafdb0e0	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
