read_id	alignment_genome	alignment_genome_start	alignment_genome_end	alignment_strand_start	alignment_strand_end	alignment_num_insertions	alignment_num_deletions	alignment_num_aligned	alignment_num_correct	alignment_identity	alignment_accuracy	alignment_score
37204797-6d4e-4cf2-a598-8cd4ce40a572	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
b048c17d-fbb2-406b-b7cc-f4a30be6f614	Pseudomonas_aeruginosa_16S_3	23	1489	6	1415	77	134	1332	1156	0.867868	0.74919	746
ff27005c-8560-453b-8e7b-6001dd10a441	Pseudomonas_aeruginosa_16S_4	212	1494	211	1301	32	224	1058	901	0.851607	0.685693	578
13df60c8-3542-4953-9a30-7f0ad0f12f49	Listeria_monocytogenes_16S_2	251	1416	211	1354	54	76	1089	905	0.831038	0.742412	490
ac15b371-c773-4114-bcf9-3161b87672dd	Salmonella_enterica_16S_3	236	1414	207	1346	53	92	1086	899	0.827808	0.730301	428
9379a2a9-824e-4c6f-9d19-91c1b638edc6	Salmonella_enterica_16S_5	245	1501	245	1483	41	59	1197	1028	0.858814	0.792598	916
019d6643-d022-4ece-a7de-dad831ff3bc1	Salmonella_enterica_16S_1	23	1418	2	1417	97	77	1318	1060	0.804249	0.710456	388
0991d6fa-6157-4b6a-a0fa-416ca51b86a3	Enterococcus_faecalis_16S_4	242	1526	179	1450	51	64	1220	1046	0.857377	0.783521	838
03064250-0ec2-4127-99b2-d125ac150266	Staphylococcus_aureus_16S_6	33	1431	10	1368	63	103	1295	1072	0.827799	0.733744	552
09623247-f662-4f5f-9e44-42021df9f301	Staphylococcus_aureus_16S_2	250	1412	210	1361	55	66	1096	882	0.804745	0.724733	366
74a3da11-e5a6-4925-95bb-065b57959fd7	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
50e93d6f-a294-494f-a03a-e9122ec1738d	Salmonella_enterica_16S_1	245	1501	244	1500	63	63	1193	983	0.823973	0.745262	570
bc78b3fd-08ab-4414-ab21-43c109c3e772	Salmonella_enterica_16S_1	235	1401	208	1326	43	91	1075	885	0.823256	0.73201	426
8fa2ec07-67fb-40a9-a7a7-ead2f0af806d	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
f20841ff-c264-47d5-9ecd-b0d507129093	Bacillus_subtilis_16S_2	29	1516	0	1490	74	71	1416	1271	0.897599	0.814222	1376
a44a497a-777a-41d8-b9be-ae1da41a464e	Staphylococcus_aureus_16S_1	329	1419	295	1359	64	90	1000	827	0.827	0.716638	362
037fe153-5948-4b14-8a50-078c88f8311f	Pseudomonas_aeruginosa_16S_3	21	1494	2	1474	68	69	1404	1208	0.860399	0.783907	1018
7142e248-60b3-4fcf-87fd-c47e2e6e93f2	Salmonella_enterica_16S_5	26	1414	7	1361	57	91	1297	1092	0.841943	0.755709	768
f0e669b6-cd9b-400a-835e-fcda8b6af9ab	Listeria_monocytogenes_16S_3	234	1485	197	1450	65	63	1188	1021	0.859428	0.775836	798
4e2a3f87-f454-4749-b7b5-20f6e7d67c51	*	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
20790815-3d1b-4466-a180-c0c5963aea17	*	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
378bee97-d692-4c3c-9dc2-5c3a38c7db17	Staphylococcus_aureus_16S_3	306	1452	438	1644	110	50	1096	941	0.858577	0.749204	578
2d0078d7-8282-4444-85fa-4f5942938155	Salmonella_enterica_16S_5	235	1501	195	1441	48	68	1198	1029	0.858932	0.783105	866
92eaea39-487d-4033-9b7a-d4f5dfe34245	*	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
b9fa052d-c092-4d95-9cc6-7cccd9e388f0	Bacillus_subtilis_16S_7	29	1518	0	1456	31	64	1425	1310	0.919298	0.861842	1742
0c14fc48-cfde-49b8-a51a-9edfddfbf0ef	Enterococcus_faecalis_16S_3	259	1424	214	1361	57	75	1090	915	0.83945	0.748773	550
8db60be1-e61e-4a51-b828-135a70eece05	Salmonella_enterica_16S_5	22	1402	0	1326	55	109	1271	1065	0.837923	0.74216	586
3b3a2e36-e027-4c85-8240-3f1396f9e9b7	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
a86fb40e-8dc6-4712-b2e9-b51e72f1b262	Enterococcus_faecalis_16S_3	259	1437	212	1385	56	61	1117	939	0.840645	0.76094	624
0245cf48-f8f3-4145-9bb9-7d9d23dff9de	Staphylococcus_aureus_16S_2	298	1518	269	1439	53	103	1117	924	0.827216	0.725844	476
80c81745-51fa-47d8-a6c4-5b0b2bd3111b	Staphylococcus_aureus_16S_4	320	1520	289	1470	56	75	1125	911	0.809778	0.725318	432
e8c00e19-32c7-4b51-a34e-27a4745bd509	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1ba659c8-d0b9-40a7-bfbd-1bdc1c6d1350	Staphylococcus_aureus_16S_6	251	1517	225	1474	66	83	1183	983	0.830938	0.737988	568
2dd6163f-9bc6-4941-afc7-add421072ae0	Listeria_monocytogenes_16S_2	251	1517	202	1419	46	95	1171	1008	0.860803	0.768293	757
261d2609-a808-43c2-8dd1-92f95af1a82d	Listeria_monocytogenes_16S_6	251	1424	220	1334	41	100	1073	898	0.836906	0.739703	526
0dbf90f2-3e96-42f7-a8f4-31d9e6432e0b	Listeria_monocytogenes_16S_1	235	1516	205	1461	48	73	1208	990	0.819536	0.744921	610
a2dbac59-33a6-4000-aaf1-1978380c670f	Bacillus_subtilis_16S_3	249	1518	207	1538	114	52	1217	1019	0.837305	0.736804	530
0611021e-8b15-4918-87ec-29fe2f9be37d	Enterococcus_faecalis_16S_4	259	1424	206	1305	45	111	1054	882	0.836812	0.728926	416
5a843708-2684-4e95-b1aa-5848814493fa	Listeria_monocytogenes_16S_4	31	1416	3	1355	81	114	1271	1052	0.827695	0.717599	338
689c59d8-82ac-4d18-8fac-ace50c145a7c	Staphylococcus_aureus_16S_3	251	1520	213	1437	50	95	1174	981	0.835605	0.743745	604
30cfbbd1-4b9a-467f-ba54-6e97037c1be4	*	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
