read_id,alignment_genome,alignment_genome_start,alignment_genome_end,alignment_strand_start,alignment_strand_end,alignment_num_insertions,alignment_num_deletions,alignment_num_aligned,alignment_num_correct,alignment_identity,alignment_accuracy,alignment_score
e6aa9a04-e44d-4496-a2f8-9e0fe1b4a786,*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
30cfd9c7-8349-4356-908d-3c9c20975d93,CP000253.448819.450374,29,1515,0,1429,20,77,1409,1362,0.966643,0.904382,2098
21262fd3-8e25-4695-a8c5-55ceb70e23ef,CP031659.720321.721856,28,1502,0,1454,30,50,1424,1371,0.962781,0.911569,2146
719ad5c7-0d18-47a3-950b-c0377dc89c5c,CP002110.1202571.1204109,27,1511,6,1512,50,28,1456,1418,0.973901,0.924381,2312
0f6451b3-448c-47d0-8f0b-82d2181259f4,CP029052.160210.161760,28,1515,0,1487,35,35,1452,1416,0.975207,0.930355,2376
b368be13-5eae-4802-9372-276cd96f002d,CP031195.1724078.1725657,29,1544,0,1492,31,54,1461,1369,0.937029,0.885511,2000
616fd786-3955-4b48-a254-0b41354197dd,CP027476.2001166.2002720,29,1520,0,1445,20,66,1425,1376,0.965614,0.910655,2156
39837538-b498-4c89-8e19-d8996ccd1927,KJ585673.1.1458,5,1459,28,1461,28,49,1405,1368,0.973665,0.923077,2237
58c22daa-4369-4236-9c03-d032d4160352,CP031195.1724078.1725657,29,1544,0,1475,36,76,1439,1314,0.913134,0.847195,1572
11e5aaee-3146-41ac-a92e-ce84cb98ba5b,AP017973.1435046.1436618,31,1540,8,1493,29,53,1456,1342,0.921703,0.872562,1860
dd96ad8f-7e94-4a56-b0c2-5f74a6f539a1,*,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4a110846-2d2f-4daf-9f78-420c1671e213,CP006600.2950841.2952392,29,1515,0,1476,70,80,1406,1318,0.937411,0.847044,1644
bfc9c25c-87fb-4790-a9db-308e4ad835a7,AY914070.1.1488,1,1474,0,1495,66,44,1429,1391,0.973408,0.903834,2114
d6bf79c6-12c2-4af1-a645-41ef005ff2e7,CP002033.273972.275539,21,1533,0,1489,22,45,1467,1372,0.935242,0.894394,2046
28ebb827-d6cb-43f4-be5a-fdb86e712a4a,LT992434.902740.904271,22,1512,0,1465,35,60,1430,1344,0.93986,0.881311,1894
f9672d31-db87-4fc4-82c9-a956254eb0d4,CP033345.1248975.1250528,28,1506,0,1488,51,41,1437,1404,0.977035,0.918247,2252
4daf10a8-e335-4ddb-9c8c-aa51623334e5,DQ129420.1.1508,21,1509,0,1447,19,60,1428,1352,0.946779,0.897147,2038
be10f158-6c90-4839-befb-666ea7bb6655,JF346899.1.1511,22,1509,0,1454,33,66,1421,1346,0.94722,0.885526,1926
4ba1ce3d-a32b-41bc-8c2b-d6084f641032,FPID01000017.12.1509,19,1454,0,1416,66,85,1350,1247,0.923704,0.830779,1424
1e6585dc-6fc4-40c8-81bc-6945c068e710,JF206983.1.1372,1,1366,0,1358,37,44,1321,1185,0.897048,0.845221,1453
57104054-c2c9-4b98-a929-f8b394354e44,CP030223.4526536.4528087,30,1506,2,1397,49,130,1346,1270,0.943536,0.832787,1558
d6dbf555-b10a-4981-b748-0056e929023d,CP012344.1130200.1131753,28,1508,0,1468,47,59,1421,1382,0.972555,0.905043,2120
36a86799-d7b7-4f6e-8c92-b441e01da5ef,CP007639.4244671.4246212,28,1508,0,1492,53,41,1439,1391,0.966644,0.907371,2134
e91cc2d9-3ee5-4b54-b7e8-94a758663ff6,CP020560.5882178.5883714,27,1503,1,1482,38,33,1443,1408,0.975745,0.929987,2338
eac79197-c5cc-4538-91df-69b938541831,CP021790.1964876.1966431,21,1536,0,1449,42,108,1407,1290,0.916844,0.828516,1440
